_id,plr_type,plr_median,plr_confidence_low,plr_confidence_high,length_years_rounded,power_dc,pv_climate_zone,technology1,technology2,type_mounting,tracking
2748,nsrdb,-0.98,-1.68,-0.26,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2749,nsrdb,-1.23,-1.99,-0.37,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2750,nsrdb,-1.14,-2.25,-0.38,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2751,nsrdb,-0.94,-1.8,-0.1,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2752,nsrdb,-0.75,-1.55,0.19,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2753,nsrdb,-1.29,-1.88,-0.5,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2754,nsrdb,-0.83,-1.77,0.32,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2755,nsrdb,-1.13,-1.98,-0.37,5,0.5-2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
2756,nsrdb,-0.71,-1.02,-0.43,6,< 0.5 MW,T5,multi-Si,Al-BSF,Parking,FALSE
2757,nsrdb,-1.06,-1.36,-0.67,6,< 0.5 MW,T5,multi-Si,Al-BSF,Parking,FALSE
2758,nsrdb,-0.67,-1.08,-0.09,6,< 0.5 MW,T5,multi-Si,Al-BSF,Parking,FALSE
2759,nsrdb,-0.5,-0.82,-0.19,6,< 0.5 MW,T5,multi-Si,Al-BSF,Parking,FALSE
2760,nsrdb,-0.42,-0.93,0.03,6,< 0.5 MW,T5,multi-Si,Al-BSF,Parking,FALSE
2761,nsrdb,-0.43,-0.78,-0.12,6,< 0.5 MW,T5,multi-Si,Al-BSF,Parking,FALSE
2762,nsrdb,-0.97,-1.33,-0.61,6,< 0.5 MW,T5,multi-Si,Al-BSF,Parking,FALSE
2763,sensor,-0.87,-1.36,-0.23,4,< 0.5 MW,T3,multi-Si,Al-BSF,Roof,FALSE
2764,sensor,-0.88,-1.38,-0.46,4,< 0.5 MW,T3,multi-Si,Al-BSF,Roof,FALSE
2765,sensor,-0.79,-1.27,-0.41,4,< 0.5 MW,T3,multi-Si,Al-BSF,Roof,FALSE
2766,sensor,-0.24,-0.4,-0.01,6,< 0.5 MW,T5,multi-Si,Al-BSF,Parking,FALSE
2767,sensor,-0.42,-0.59,-0.24,5,< 0.5 MW,T5,multi-Si,Al-BSF,Parking,FALSE
2768,sensor,-0.88,-1.05,-0.72,6,< 0.5 MW,T5,multi-Si,Al-BSF,Parking,FALSE
2769,sensor,-0.31,-0.52,-0.11,6,< 0.5 MW,T5,multi-Si,Al-BSF,Parking,FALSE
2770,sensor,-0.46,-0.67,-0.31,5,< 0.5 MW,T5,multi-Si,Al-BSF,Parking,FALSE
2771,nsrdb,-0.83,-1.1,-0.5,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
2772,nsrdb,-1.06,-1.45,-0.7,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
2773,nsrdb,-0.72,-1.08,-0.32,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
2774,sensor,-0.49,-0.81,-0.28,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2775,sensor,-0.48,-0.66,-0.24,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2776,sensor,-0.45,-0.7,-0.25,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2777,sensor,-0.42,-0.75,-0.17,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2778,sensor,-0.53,-0.79,-0.3,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2779,sensor,-0.4,-0.63,-0.18,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2780,sensor,-0.47,-0.71,-0.23,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2781,sensor,-0.45,-0.73,-0.23,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2782,sensor,0,-0.18,0.19,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2783,sensor,0.01,-0.23,0.25,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2784,sensor,-0.5,-0.81,-0.23,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2785,sensor,-0.45,-0.83,-0.12,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2786,sensor,-0.26,-0.53,0.02,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2787,sensor,-0.49,-0.75,-0.28,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2788,sensor,-0.47,-0.78,-0.22,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2789,sensor,0.41,0.1,0.76,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2790,sensor,-0.4,-0.75,-0.14,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2791,sensor,-0.71,-0.97,-0.45,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2792,sensor,0.06,-0.13,0.34,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2793,sensor,0.11,-0.15,0.27,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2794,sensor,-0.49,-0.74,-0.18,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2795,sensor,0.07,-0.14,0.28,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2796,sensor,0.05,-0.23,0.34,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
